Country Name,Country Code,Region,Income Group,Year,Starting a business - Score,Starting a business: Cost - Average (% of income per capita) - Score,Starting a business: Procedures required - Average (number) - Score,Starting a business: Time - Average (days) - Score,Starting a business: Paid-in Minimum capital (% of income per capita) - Score
Egypt,EGY,Middle East & North Africa,Lower middle income,2013,80.9,85.70869,50.0,87.9397,100.0
Denmark,DNK,Europe & Central Asia,High income,2013,91.2,99.89873,76.47059,94.47236,93.95383
Algeria,DZA,Middle East & North Africa,Upper middle income,2013,73.7,93.95517,29.41176,78.39196,93.1935
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2013,51.1,34.98459,47.05882,68.34171,53.85553
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2013,65.0,94.93906,52.94118,12.0603,100.0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2013,82.3,90.86724,64.70588,85.92965,87.67666
Djibouti,DJI,Middle East & North Africa,Lower middle income,2013,27.7,2.16078,41.17647,63.31658,4.10845
Latvia,LVA,Europe & Central Asia,High income,2013,91.5,98.85592,82.35294,84.92462,99.99611
Dem. Rep. Congo,COD,Sub-Saharan Africa,Low income,2013,46.5,0.0,44.117644999999996,41.708545,100.0
Lebanon,LBN,Middle East & North Africa,Upper middle income,2013,79.4,82.25756,58.82353,85.42714,91.20523
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2014,82.3,99.61672,64.70588,64.82412,100.0
Singapore,SGP,East Asia & Pacific,High income,2014,96.5,99.70069,88.23529,97.98995,100.0
Montenegro,MNE,Europe & Central Asia,Upper middle income,2014,86.6,99.13344,58.82353,88.44221,99.99524
Canada,CAN,North America,High income,2014,97.2,99.80835,94.11765,94.97487,100.0
Lithuania,LTU,Europe & Central Asia,High income,2014,90.1,99.54094,70.58824,91.9598,98.30334
Grenada,GRD,Latin America & Caribbean,Upper middle income,2014,86.5,90.17438,70.58824,85.42714,100.0
Tunisia,TUN,Middle East & North Africa,Lower middle income,2014,81.6,97.66565,41.17647,87.43719,100.0
Albania,ALB,Europe & Central Asia,Upper middle income,2014,90.3,89.40376,76.47059,95.47739,100.0
Belize,BLZ,Latin America & Caribbean,Upper middle income,2014,73.1,82.28373,52.94118,57.28643,99.98505
Sweden,SWE,Europe & Central Asia,High income,2014,92.3,99.71254,88.23529,84.42211,96.73337
Panama,PAN,Latin America & Caribbean,High income,2014,91.8,96.21489,76.47059,94.47236,100.0
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2014,82.6,94.29466,64.70588,71.35678,100.0
Benin,BEN,Sub-Saharan Africa,Low income,2014,54.3,38.642365,61.76470499999999,81.90955,34.69005
Greece,GRC,Europe & Central Asia,High income,2014,89.2,93.96594,76.47059,86.43216,99.99855
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2014,82.6,91.36126,64.70588,85.92965,88.48863
Ireland,IRL,Europe & Central Asia,High income,2014,91.7,99.86318,82.35294,84.42211,100.0
Morocco,MAR,Middle East & North Africa,Lower middle income,2014,88.7,95.22872,70.58824,88.94472,100.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2014,72.6,81.783785,67.64706,83.9196,57.05043
Palau,PLW,East Asia & Pacific,High income,2014,81.7,98.1086,58.82353,72.36181,97.47813
Israel,ISR,Middle East & North Africa,High income,2014,90.7,97.95715,76.47059,88.44221,100.0
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2014,83.1,76.26594,64.70588,91.45729,100.0
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2014,77.0,90.06273,70.58824,47.23618,100.0
Japan,JPN,East Asia & Pacific,High income,2014,86.0,96.23417,58.82353,88.79397,99.99999
Lebanon,LBN,Middle East & North Africa,Upper middle income,2014,79.5,82.46989,58.82353,85.42714,91.32979
Micronesia,FSM,East Asia & Pacific,Lower middle income,2014,69.7,29.5079,64.70588,84.42211,100.0
Chile,CHL,Latin America & Caribbean,High income,2014,87.2,97.04325,58.82353,92.96482,100.0
Dem. Rep. Congo,COD,Sub-Saharan Africa,Low income,2014,26.8,0.0,38.235295,68.84422,0.0
Barbados,BRB,Latin America & Caribbean,High income,2014,84.4,96.37816,58.82353,82.41206,100.0
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2014,86.6,91.40401,64.70588,90.45226,100.0
Peru,PER,Latin America & Caribbean,Upper middle income,2014,77.6,92.81482,58.82353,58.79397,100.0
Algeria,DZA,Middle East & North Africa,Upper middle income,2014,73.6,93.78154,29.41176,78.39196,92.8601
Georgia,GEO,Europe & Central Asia,Upper middle income,2014,97.7,98.12481,94.11765,98.49246,100.0
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2014,91.9,96.77656,76.47059,94.47236,100.0
Moldova,MDA,Europe & Central Asia,Lower middle income,2014,88.4,97.32133,64.70588,93.46734,97.96842
Chad,TCD,Sub-Saharan Africa,Low income,2014,34.3,6.86541,52.94118,40.20101,37.10843
Yemen,YEM,Middle East & North Africa,Low income,2014,73.6,66.9435,67.64706,59.798995000000005,100.0
Malawi,MWI,Sub-Saharan Africa,Low income,2014,61.8,39.97094,47.05882,60.30151,100.0
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2014,65.1,87.35578,29.41176,44.72362,99.06846
Belarus,BLR,Europe & Central Asia,Upper middle income,2014,89.6,99.54069,70.58824,88.44221,100.0
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2014,73.5,85.96857,44.117644999999996,63.819095000000004,100.0
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2014,75.0,69.9683,64.70588,65.32663,100.0
Germany,DEU,Europe & Central Asia,High income,2014,81.8,97.58304,52.94118,85.92965,90.5499
Italy,ITA,Europe & Central Asia,High income,2014,84.2,92.65915,58.82353,87.9397,97.55103
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2014,74.2,67.8297,82.35294,94.47236,51.97746
Mongolia,MNG,East Asia & Pacific,Lower middle income,2014,87.1,99.25852,64.70588,84.42211,100.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,2014,38.3,27.66416,47.05882,78.39196,0.0
Turkey,TUR,Europe & Central Asia,Upper middle income,2014,81.0,90.32542,47.05882,89.94975,96.70784
Iraq,IRQ,Middle East & North Africa,Upper middle income,2014,73.8,81.65071,44.117644999999996,72.86431999999999,96.72334
Suriname,SUR,Latin America & Caribbean,Upper middle income,2014,44.6,49.1539,29.41176,0.0,99.91087
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2014,83.2,88.32657,58.82353,86.43216,99.08357
Belgium,BEL,Europe & Central Asia,High income,2014,91.3,97.34536,76.47059,95.9799,95.45298
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2014,85.1,83.70906,64.70588,91.9598,100.0
Switzerland,CHE,Europe & Central Asia,High income,2014,86.4,98.8496,70.58824,82.41206,93.60003
Dominica,DMA,Latin America & Caribbean,Upper middle income,2014,89.1,91.67868,76.47059,88.44221,100.0
The Gambia,GMB,Sub-Saharan Africa,Low income,2014,61.3,12.8589,58.82353,73.36683,100.0
Guyana,GUY,Latin America & Caribbean,Upper middle income,2014,85.2,93.79302,64.70588,82.41206,100.0
Iceland,ISL,Europe & Central Asia,High income,2014,92.1,98.63191,76.47059,95.9799,97.37913
Netherlands,NLD,Europe & Central Asia,High income,2014,94.1,97.41481,82.35294,96.48241,100.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2014,69.2,77.72797,88.23529,87.43719,23.45229
Afghanistan,AFG,South Asia,Low income,2014,91.6,92.82275,79.411765,93.96985,100.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2014,77.9,99.54958,52.94118,59.29648,100.0
Tajikistan,TJK,Europe & Central Asia,Low income,2014,85.5,87.19139,76.47059,78.39196,100.0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2014,74.2,70.67373,56.11765,70.05025,100.0
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2014,47.9,35.56715,47.05882,9.04523,100.0
Haiti,HTI,Latin America & Caribbean,Low income,2014,33.4,0.0,35.29412,3.01508,95.23576
Hungary,HUN,Europe & Central Asia,High income,2014,89.3,95.58186,70.58824,93.46734,97.64993
Seychelles,SYC,Sub-Saharan Africa,High income,2014,78.3,92.00273,52.94118,68.34171,100.0
New Zealand,NZL,East Asia & Pacific,High income,2014,100.0,99.83002,100.0,100.0,100.0
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2014,84.8,99.12327,64.70588,75.37688,99.99513
The Bahamas,BHS,Latin America & Caribbean,High income,2014,84.1,94.80653,64.70588,76.88442,100.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,2014,63.7,97.03061,39.88235,18.03015,100.0
Tanzania,TZA,Sub-Saharan Africa,Low income,2014,68.7,62.40427,41.17647,71.35678,100.0
Niger,NER,Sub-Saharan Africa,Low income,2014,51.8,59.92833,64.70588,82.41206,0.0
Djibouti,DJI,Middle East & North Africa,Lower middle income,2014,59.1,0.0,52.94118,83.41709,100.0
Honduras,HND,Latin America & Caribbean,Lower middle income,2014,65.4,77.80711,29.41176,57.28643,96.954
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2014,96.5,99.59084,88.23529,97.98995,100.0
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2014,70.9,61.49705,58.82353,63.31658,100.0
Brunei,BRN,East Asia & Pacific,High income,2014,48.8,95.02482,0.0,0.0,100.0
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2014,88.8,99.11915,70.58824,85.42714,100.0
"Taiwan, China",TWN,East Asia & Pacific,High income,2014,94.4,98.84794,88.23529,90.45226,100.0
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2014,56.9,87.19782,29.41176,18.09045,92.72603
Burundi,BDI,Sub-Saharan Africa,Low income,2014,93.7,91.24367,88.23529,95.47739,100.0
Cambodia,KHM,East Asia & Pacific,Lower middle income,2014,35.7,35.08308,35.29412,0.0,72.46524
Tonga,TON,East Asia & Pacific,Upper middle income,2014,90.8,96.28079,82.35294,84.42211,100.0
Bhutan,BTN,South Asia,Lower middle income,2014,81.7,97.59339,58.82353,70.35176,100.0
Pakistan,PAK,South Asia,Lower middle income,2014,75.4,91.86678,29.41176,80.40201,100.0
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2014,74.7,76.82369,52.94118,73.86935,95.10432
Iran,IRN,Middle East & North Africa,Upper middle income,2014,67.3,98.34224,44.117644999999996,26.633164999999998,100.0
Serbia,SRB,Europe & Central Asia,Upper middle income,2014,88.9,96.39351,70.58824,88.44221,100.0
Myanmar,MMR,East Asia & Pacific,Lower middle income,2014,16.6,25.68959,17.64706,23.11558,0.0
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2014,71.8,93.75568,61.76470499999999,86.934675,44.59551
Oman,OMN,Middle East & North Africa,High income,2014,74.8,98.7519,61.76470499999999,90.954775,47.559
Togo,TGO,Sub-Saharan Africa,Low income,2014,47.1,39.27515,64.70588,81.40704,2.87444
Denmark,DNK,Europe & Central Asia,High income,2014,91.2,99.90008,76.47059,94.47236,94.03481
Mozambique,MOZ,Sub-Saharan Africa,Low income,2014,75.3,74.92474,47.05882,79.39698,100.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2014,60.2,66.21329,23.52941,51.25628,100.0
Indonesia,IDN,East Asia & Pacific,Lower middle income,2014,59.1,88.98474,34.0,23.16583,90.36332
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2014,68.5,92.62815,47.05882,34.17085,100.0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2014,82.2,93.24689,52.94118,82.41206,99.99992
Liechtenstein,LIE,Europe & Central Asia,High income,2014,,,,,
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,2014,69.3,90.32277,64.70588,92.46231,29.70673
Norway,NOR,Europe & Central Asia,High income,2014,92.2,99.18197,76.47059,94.47236,98.73055
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2014,58.1,98.56411,58.82353,6.03015,68.78502
Liberia,LBR,Sub-Saharan Africa,Low income,2014,90.3,90.44537,76.47059,94.47236,100.0
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2014,52.6,53.44549,55.882355000000004,91.9598,8.98221
India,IND,South Asia,Lower middle income,2014,59.1,79.2369,20.76471,67.68844,68.88839
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2014,83.7,77.96121,70.58824,88.44221,97.73263
Nepal,NPL,South Asia,Low income,2014,82.7,82.7047,64.70588,83.41709,100.0
Guinea,GIN,Sub-Saharan Africa,Low income,2014,55.5,58.48538,64.70588,77.38693,21.54683
Ukraine,UKR,Europe & Central Asia,Lower middle income,2014,85.5,99.03683,64.70588,78.39196,100.0
Uganda,UGA,Sub-Saharan Africa,Low income,2014,64.2,60.85446,23.52941,72.36181,100.0
Libya,LBY,Middle East & North Africa,Upper middle income,2014,74.5,90.4638,47.05882,65.32663,95.34908
Ethiopia,ETH,Sub-Saharan Africa,Low income,2014,46.6,47.51304,23.52941,61.30653,53.94803
Kiribati,KIR,East Asia & Pacific,Lower middle income,2014,76.3,76.46668,64.70588,69.34673,94.58667
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2014,81.4,99.85474,70.58824,55.27638,99.99958
Croatia,HRV,Europe & Central Asia,High income,2014,82.2,95.43757,58.82353,77.88945,96.6433
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2014,88.4,93.77956,76.47059,83.41709,100.0
Spain,ESP,Europe & Central Asia,High income,2014,77.9,97.4896,41.17647,76.38191,96.66091
Maldives,MDV,South Asia,Upper middle income,2014,88.8,96.87787,70.58824,88.44221,99.41489
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2014,78.4,77.30872,52.94118,83.9196,99.31174
Kuwait,KWT,Middle East & North Africa,High income,2014,70.0,99.39208,32.352940000000004,67.839195,80.51551
Comoros,COM,Sub-Saharan Africa,Lower middle income,2014,58.2,54.83516,52.94118,84.42211,40.73978
Puerto Rico,PRI,Latin America & Caribbean,High income,2014,91.1,99.31125,70.58824,94.47236,100.0
United States,USA,North America,High income,2014,91.1,99.37756,70.58824,94.27136,100.0
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2014,95.3,99.48307,88.23529,93.46734,100.0
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2014,63.4,56.74681,44.117644999999996,52.76382,100.0
Eritrea,ERI,Sub-Saharan Africa,Low income,2014,42.8,74.73726,29.41176,16.0804,50.98041
Fiji,FJI,East Asia & Pacific,Upper middle income,2014,68.0,88.44055,41.17647,42.21106,100.0
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2014,68.4,77.76229,29.41176,66.33166,100.0
Rwanda,RWA,Sub-Saharan Africa,Low income,2014,85.7,84.6197,64.70588,93.46734,100.0
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2014,58.2,76.93064,52.94118,81.40704,21.40487
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2014,74.9,77.77911,70.58824,92.46231,58.90165
Qatar,QAT,Middle East & North Africa,High income,2014,80.6,97.45484,50.0,90.45226,84.49585
Austria,AUT,Europe & Central Asia,High income,2014,80.0,97.61185,58.82353,75.37688,88.05924
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2014,75.3,76.87556,58.82353,65.32663,100.0
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2014,81.1,94.02559,52.94118,77.38693,100.0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2014,55.6,34.97019,58.82353,34.17085,94.54148
South Sudan,SSD,Sub-Saharan Africa,Low income,2014,54.0,0.0,29.41176,86.43216,100.0
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2014,90.4,98.23061,70.58824,92.96482,100.0
Kosovo,XKX,Europe & Central Asia,Upper middle income,2014,84.2,88.94136,76.47059,71.35678,100.0
Slovenia,SVN,Europe & Central Asia,High income,2014,94.4,100.0,94.11765,94.47236,88.98212
Australia,AUS,East Asia & Pacific,High income,2014,96.5,99.65698,88.23529,97.98995,100.0
Romania,ROU,Europe & Central Asia,Upper middle income,2014,90.4,98.7436,70.58824,92.46231,99.81618
Estonia,EST,Europe & Central Asia,High income,2014,91.1,99.23569,76.47059,93.96985,94.84523
Egypt,EGY,Middle East & North Africa,Lower middle income,2014,81.1,86.52945,50.0,87.9397,100.0
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2014,70.9,86.16265,35.29412,62.31156,99.89156
Korea,KOR,East Asia & Pacific,High income,2014,91.9,92.71792,82.35294,92.46231,100.0
Madagascar,MDG,Sub-Saharan Africa,Low income,2014,79.5,76.51777,52.94118,88.44221,100.0
Malta,MLT,Middle East & North Africa,High income,2014,75.2,92.34256,47.05882,61.80905,99.61486
Armenia,ARM,Europe & Central Asia,Upper middle income,2014,94.3,99.45026,82.35294,95.47739,100.0
Congo,COG,Sub-Saharan Africa,Lower middle income,2014,48.5,73.93726,38.235295,1.50754,80.37444
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2014,73.8,93.73124,52.94118,53.26633,95.17788
Uruguay,URY,Latin America & Caribbean,High income,2014,89.7,88.22729,76.47059,93.96985,100.0
San Marino,SMR,Europe & Central Asia,High income,2014,75.2,95.64457,52.94118,59.29648,92.88054
Latvia,LVA,Europe & Central Asia,High income,2014,92.3,99.04115,82.35294,87.9397,99.99674
Russia,RUS,Europe & Central Asia,Upper middle income,2014,88.6,99.23985,68.23529,87.23618,99.70353
Sri Lanka,LKA,South Asia,Upper middle income,2014,82.3,86.9604,52.94118,89.44724,100.0
Mali,MLI,Sub-Saharan Africa,Low income,2014,63.4,61.6657,76.47059,89.44724,26.20924
Czech Republic,CZE,Europe & Central Asia,High income,2014,79.5,96.51445,58.82353,69.84925,92.6157
Samoa,WSM,East Asia & Pacific,Upper middle income,2014,92.3,95.1926,82.35294,91.45729,100.0
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2014,92.9,98.6554,82.35294,90.45226,100.0
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2014,91.4,98.22058,73.529415,93.96985,100.0
Colombia,COL,Latin America & Caribbean,Upper middle income,2014,84.4,96.23824,52.94118,88.44221,100.0
China,CHN,East Asia & Pacific,Upper middle income,2014,72.2,99.03269,41.17647,67.98995,80.44782
Cyprus,CYP,Europe & Central Asia,High income,2014,89.2,93.70918,70.58824,92.46231,100.0
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2014,85.6,95.64225,64.70588,81.90955,100.0
Luxembourg,LUX,Europe & Central Asia,High income,2014,88.6,99.07249,76.47059,83.9196,94.80396
Argentina,ARG,Latin America & Caribbean,Upper middle income,2014,71.6,88.38215,23.52941,75.8794,98.5825
Slovak Republic,SVK,Europe & Central Asia,High income,2014,78.5,99.22579,52.94118,66.83417,95.16723
France,FRA,Europe & Central Asia,High income,2014,92.5,99.52889,76.47059,93.96985,99.99921
United Arab Emirates,ARE,Middle East & North Africa,High income,2014,88.5,94.27674,67.64706,91.9598,100.0
Thailand,THA,East Asia & Pacific,Upper middle income,2014,82.7,96.652,64.70588,69.34673,99.99904
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2014,36.9,50.68872,0.0,0.0,96.73789
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2014,64.7,93.79176,52.94118,12.0603,100.0
Mexico,MEX,Latin America & Caribbean,Upper middle income,2014,86.9,90.7014,64.70588,92.04523,99.9998
Poland,POL,Europe & Central Asia,High income,2014,82.5,93.4737,76.47059,63.31658,96.83838
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2014,86.7,99.69799,64.70588,82.41206,100.0
Jordan,JOR,Middle East & North Africa,Upper middle income,2014,84.9,89.76234,61.76470499999999,87.9397,99.98209
Bangladesh,BGD,South Asia,Lower middle income,2014,80.5,90.55929,52.94118,78.55276,100.0
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2014,89.2,90.71372,76.47059,89.44724,100.0
Malaysia,MYS,East Asia & Pacific,Upper middle income,2014,88.7,96.20049,67.64706,90.954775,100.0
Finland,FIN,Europe & Central Asia,High income,2014,92.4,99.54031,88.23529,83.41709,98.25877
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2014,81.6,95.00757,52.94118,78.39196,100.0
Bahrain,BHR,Middle East & North Africa,High income,2014,73.9,99.50721,61.76470499999999,90.954775,43.35787
Somalia,SOM,Sub-Saharan Africa,Low income,2014,,,,,100.0
Vietnam,VNM,East Asia & Pacific,Lower middle income,2014,78.9,96.1641,52.94118,66.33166,100.0
Saudi Arabia,SAU,Middle East & North Africa,High income,2014,73.9,96.53277,23.52941,75.376885,100.0
Philippines,PHL,East Asia & Pacific,Lower middle income,2014,66.2,87.63477,5.88235,72.36181,98.85292
Portugal,PRT,Europe & Central Asia,High income,2014,92.4,98.82374,76.47059,94.47236,100.0
United Kingdom,GBR,Europe & Central Asia,High income,2014,89.8,99.86662,70.58824,88.94472,100.0
Venezuela,VEN,Latin America & Caribbean,Upper middle income,2014,45.5,82.19929,0.0,0.0,100.0
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2015,84.6,82.25003,64.70588,91.45729,100.0
Norway,NOR,Europe & Central Asia,High income,2015,94.0,99.52931,82.35294,95.47739,98.75392
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2015,79.7,99.8602,64.70588,54.27136,99.9996
Samoa,WSM,East Asia & Pacific,Upper middle income,2015,92.3,95.30501,82.35294,91.45729,100.0
Slovenia,SVN,Europe & Central Asia,High income,2015,94.4,100.0,94.11765,94.47236,88.98266
Brunei,BRN,East Asia & Pacific,High income,2015,48.7,94.80054,0.0,0.0,100.0
Estonia,EST,Europe & Central Asia,High income,2015,93.3,99.31182,82.35294,95.9799,95.35865
Djibouti,DJI,Middle East & North Africa,Lower middle income,2015,62.8,0.0,64.70588,86.43216,100.0
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2015,49.1,48.68544,55.882355000000004,91.9598,0.0
San Marino,SMR,Europe & Central Asia,High income,2015,77.8,95.48309,58.82353,64.32161,92.61659
Honduras,HND,Latin America & Caribbean,Lower middle income,2015,65.5,78.14078,29.41176,57.28643,97.11292
Russia,RUS,Europe & Central Asia,Upper middle income,2015,91.6,99.28406,78.23529,88.94472,100.0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2015,77.4,83.31354,56.11765,70.05025,100.0
"Taiwan, China",TWN,East Asia & Pacific,High income,2015,94.4,98.87769,88.23529,90.45226,100.0
Niger,NER,Sub-Saharan Africa,Low income,2015,52.7,61.63005,64.70588,84.42211,0.0
Tajikistan,TJK,Europe & Central Asia,Low income,2015,85.8,88.32509,82.35294,72.36181,100.0
Somalia,SOM,Sub-Saharan Africa,Low income,2015,,,,,100.0
Rwanda,RWA,Sub-Saharan Africa,Low income,2015,80.6,70.10375,58.82353,93.46734,100.0
Haiti,HTI,Latin America & Caribbean,Low income,2015,33.5,0.0,35.29412,3.01508,95.59176
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,2015,72.9,91.22905,70.58824,93.46734,36.28976
Czech Republic,CZE,Europe & Central Asia,High income,2015,81.3,96.55917,58.82353,69.84925,99.99964
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2015,69.1,77.67343,88.23529,87.43719,22.87816
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2015,84.8,99.24392,64.70588,75.37688,99.99512
Eritrea,ERI,Sub-Saharan Africa,Low income,2015,44.8,79.27016,29.41176,16.0804,54.47593
Croatia,HRV,Europe & Central Asia,High income,2015,82.9,98.2222,58.82353,77.88945,96.67577
Guyana,GUY,Latin America & Caribbean,Upper middle income,2015,85.3,94.23278,64.70588,82.41206,100.0
Seychelles,SYC,Sub-Saharan Africa,High income,2015,78.4,92.3773,52.94118,68.34171,100.0
Cyprus,CYP,Europe & Central Asia,High income,2015,89.1,93.5223,70.58824,92.46231,100.0
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2015,89.0,99.91472,70.58824,85.42714,100.0
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2015,36.7,50.51885,0.0,0.0,96.43197
Tanzania,TZA,Sub-Saharan Africa,Low income,2015,68.9,63.11014,41.17647,71.35678,100.0
Dominica,DMA,Latin America & Caribbean,Upper middle income,2015,89.3,92.16412,76.47059,88.44221,100.0
Burundi,BDI,Sub-Saharan Africa,Low income,2015,94.3,93.29152,88.23529,95.47739,100.0
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2015,78.5,77.66202,52.94118,83.9196,99.324
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2015,73.7,93.54358,52.94118,53.26633,95.10877
Guinea,GIN,Sub-Saharan Africa,Low income,2015,52.8,61.14234,64.70588,85.42714,0.0
Colombia,COL,Latin America & Caribbean,Upper middle income,2015,84.4,96.25259,52.94118,88.44221,100.0
Portugal,PRT,Europe & Central Asia,High income,2015,91.0,98.83944,70.58824,94.47236,100.0
Singapore,SGP,East Asia & Pacific,High income,2015,96.5,99.71431,88.23529,97.98995,100.0
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2015,77.0,90.28683,70.58824,47.23618,100.0
Suriname,SUR,Latin America & Caribbean,Upper middle income,2015,48.8,49.85577,29.41176,16.0804,99.92007
Dem. Rep. Congo,COD,Sub-Saharan Africa,Low income,2015,57.7,85.0,61.76470499999999,83.9196,0.0
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2015,85.0,68.10741,82.35294,94.47236,95.2392
Central African Republic,CAF,Sub-Saharan Africa,Low income,2015,31.4,0.0,47.05882,78.39196,0.0
Finland,FIN,Europe & Central Asia,High income,2015,92.4,99.53874,88.23529,83.41709,98.25282
Saudi Arabia,SAU,Middle East & North Africa,High income,2015,74.0,97.21516,23.52941,75.376885,100.0
Germany,DEU,Europe & Central Asia,High income,2015,81.4,95.60738,52.94118,85.92965,91.04568
Slovak Republic,SVK,Europe & Central Asia,High income,2015,80.3,99.23976,52.94118,73.86935,95.19566
Sri Lanka,LKA,South Asia,Upper middle income,2015,83.0,89.66803,52.94118,89.44724,100.0
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2015,75.3,71.31678,64.70588,65.32663,100.0
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2015,85.6,95.63466,64.70588,81.90955,100.0
Poland,POL,Europe & Central Asia,High income,2015,82.6,93.52957,76.47059,63.31658,96.92555
France,FRA,Europe & Central Asia,High income,2015,93.0,99.53239,76.47059,95.9799,99.99921
Chad,TCD,Sub-Saharan Africa,Low income,2015,41.9,24.70618,52.94118,40.20101,49.58283
Georgia,GEO,Europe & Central Asia,Upper middle income,2015,97.7,98.16575,94.11765,98.49246,100.0
China,CHN,East Asia & Pacific,Upper middle income,2015,80.9,99.52989,52.94118,71.00503,100.0
Peru,PER,Latin America & Caribbean,Upper middle income,2015,77.7,93.25005,58.82353,58.79397,100.0
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2015,86.7,91.65454,64.70588,90.45226,100.0
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2015,65.3,88.00228,29.41176,44.72362,99.11309
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2015,88.6,88.55889,76.47059,89.44724,100.0
Philippines,PHL,East Asia & Pacific,Lower middle income,2015,67.2,89.35211,5.88235,74.37186,99.11194
Chile,CHL,Latin America & Caribbean,High income,2015,87.2,97.05533,58.82353,92.96482,100.0
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2015,73.8,87.44205,44.117644999999996,63.819095000000004,100.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2015,83.7,90.39387,58.82353,86.43216,99.2901
Canada,CAN,North America,High income,2015,97.2,99.8102,94.11765,94.97487,100.0
